codigo_ibge,vab_total_mil_2019_2021,vab_agro_mil,vab_industria_mil,vab_servicos_mil,vab_adm_publica_mil,pct_agro,pct_industria,pct_servicos,pct_adm_publica,anos_usados
4306130,308703,173482,10418,76565,48238,56.20,3.37,24.80,15.63,3
4306205,1158588,194323,299006,474766,190492,16.77,25.81,40.98,16.44,3
4306304,493868,206300,25980,175397,86190,41.77,5.26,35.51,17.45,3
4306320,342447,198407,14402,67050,62587,57.94,4.21,19.58,18.28,3
4306353,136128,45716,3462,31019,55931,33.58,2.54,22.79,41.09,3
4306379,524563,336710,26983,91109,69761,64.19,5.14,17.37,13.30,3
4306403,5277285,45002,2335463,2364699,532122,0.85,44.26,44.81,10.08,3
4306429,415689,274030,19915,64457,57287,65.92,4.79,15.51,13.78,3
4306452,381493,132080,57424,123496,68494,34.62,15.05,32.37,17.95,3
4306502,881439,360140,27979,241482,251838,40.86,3.17,27.40,28.57,3
4306551,162260,22208,11123,70643,58286,13.69,6.86,43.54,35.92,3
4306601,4633411,1876309,344656,1735612,676834,40.50,7.44,37.46,14.61,3
4306700,248174,70264,50601,67815,59494,28.31,20.39,27.33,23.97,3
4306734,622002,326679,22031,185940,87353,52.52,3.54,29.89,14.04,3
4306759,176493,56652,27345,47953,44543,32.10,15.49,27.17,25.24,3
4306767,4296116,367383,651937,2532442,744354,8.55,15.18,58.95,17.33,3
4306809,2666107,119077,826837,1385065,335128,4.47,31.01,51.95,12.57,3
4306908,2161407,959557,110889,631276,459685,44.40,5.13,29.21,21.27,3
4306924,173323,84845,6557,39055,42867,48.95,3.78,22.53,24.73,3
4306932,1320160,469333,56860,631909,162059,35.55,4.31,47.87,12.28,3
4306957,628914,101558,381227,79099,67031,16.15,60.62,12.58,10.66,3
4306973,393821,179621,30824,112756,70619,45.61,7.83,28.63,17.93,3
4307005,15599131,325435,5329037,8261614,1683044,2.09,34.16,52.96,10.79,3
4307054,524989,255703,53282,137754,78249,48.71,10.15,26.24,14.90,3
4307104,520871,252622,17474,119753,131023,48.50,3.35,22.99,25.15,3
4307203,348207,121633,23372,109291,93910,34.93,6.71,31.39,26.97,3
